doc_index,content,tokens,url
procedures-300-appendix-b_1_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 300.APPENDIX B – THE ALLEGATIONS SYSTEM a) Purpose of the Allegation System The allegations identify and define specific types of moderate to severe harm, provide a framework for decision-making by SCR and investigative staff, and provide an important investigation tracking and record-keeping function. To fulfill the purposes of the allegation-based system, it is essential that the allegations are narrowly defined and used consistently throughout the state. The Child Protection Specialist must refer to the specific allegation and the factors endemic to that allegation, to guide him/her in making a final finding. Note: If investigative activities reveal an additional allegation is needed or a more appropriate allegation is needed to replace the allegation originally assigned, the Child Protection Specialist should identify and assign the most appropriate allegation. b) Allegations The allegation system defines moderate to severe harm or the risk of moderate to severe harm of a child. Many of the allegations are categorized as either abuse or neglect. All abuse allegations of harm are coded with a one or two-digit number, 40 and under. All neglect allegations of harm are coded with a two-digit number greater than 50. The allegations of harm are categorized and coded as follows: ABUSE NEGLECT #1 Death #51 Death #2 Head Injuries #52 Head Injuries #4 Internal Injuries #54 Internal Injuries #5 Burns #55 Burns #6 Poison/Noxious Substances #56 Poison/Noxious Substances #7 Wounds #57 Wounds #9 Bone Fractures #59 Bone Fractures #10 Substantial Risk of Physical #60 Substantial Risk of Physical Injury/Environment Injurious to Injury/Environment Injurious to Health and Welfare Health and Welfare #11 Cuts, Bruises, Welts, Abrasions and #61 Cuts, Bruises, Welts, Abrasions Oral Injuries and Oral Injuries #12 Human Bites #62 Human Bites Illinois Department of Children and Family Services",413,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_2_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 ABUSE NEGLECT #13 Sprains/Dislocations #63 Sprains/Dislocations #14 Tying/Close Confinement Abuse Only #15 Substance Misuse #65 Substance Misuse #16 Torture Abuse Only #17 Mental and Emotional Impairment #67 Mental and Emotional Impairment #18 Sexually Transmitted Diseases Abuse Only #19 Sexual Penetration Abuse Only #20 Sexual Exploitation Abuse Only #21 Sexual Molestation Abuse Only #22 Substantial Risk of Sexual Injury Abuse Only #40 Human Trafficking of Children #90 Human Trafficking of Children Neglect Only #74 Inadequate Supervision Neglect Only #75 Abandonment/Desertion Neglect Only #76 Inadequate Food Neglect Only #77 Inadequate Shelter Neglect Only #78 Inadequate Clothing Neglect Only #79 Medical Neglect Neglect Only #81 Failure to Thrive (Non-Organic) Neglect Only #82 Environmental Neglect Neglect Only #83 Malnutrition (Non-Organic) Neglect Only #84 Lock-out Neglect Only #85 Medical Neglect of Disabled Infants Neglect Only #86 Neglect by Agency Illinois Department of Children and Family Services",268,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_3_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 c) Persons Who May Be Considered Perpetrators of Child Abuse or Neglect The following guidelines clarify which persons may be considered perpetrators of child abuse or neglect. RELATIONSHIP ABUSE NEGLECT PARENTS Legal and/or Biological Parents X X (Includes Non-Custodial Parents) Step Parents X X Adoptive Parents X X IMMEDIATE FAMILY MEMBERS Biological Brothers and Sisters X See Note Step-Brothers and Sisters X See Note Adopted Brothers and Sisters X See Note Biological Grandfather and Grandmother X See Note Adopted Grandfather and Grandmother X See Note INDIVIDUALS RESIDING IN THE SAME HOME AS THE CHILD May Include Foster Brothers and Sisters X See Note (To determine residency, the person should maintain clothing and personal effects at the address, receive mail at or have identification using the address or otherwise identify the residence as his or her home. Visitors or short-term guests are not included in this category.) Illinois Department of Children and Family Services",219,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_4_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 RELATIONSHIP ABUSE NEGLECT PARAMOUR Parent’s “Boyfriend” or “Girlfriend” X See Note “Paramour” means a significant other (e.g., boyfriend, girlfriend, lover, partner, friend or putative father who is involved in an intimate/romantic relationship with one of the custodial parents of the children who come to the official attention of the Department through a child abuse or neglect investigation and/or open case; does not have a legally recognized and/or significant, continuous and stable relationship with all of the children; may or may not live in the same household of the custodial parent of the involved children. PERSON RESPONSIBLE FOR THE CHILD’S WELFARE (CARETAKER) Legal Guardian of the Child X X Foster Parents X X Relative Caretakers X X Day Care Home Caregivers X X (Regardless of whether licensed or license- exempt. Includes home or other persons residing in the home) Day Care Center Employees X X (Includes all employees and volunteers who have direct contact with children) Residential Care Facility Employees X X (Includes all employees and volunteers who have direct contact with children) Other Caretakers or Baby-Sitters X X (When the child’s parent or legal guardian has a verbal or written agreement for the person to assume responsibility for the child’s care during the parent or guardian’s absence. Includes home caregiver and other persons residing in the home.) Illinois Department of Children and Family Services",313,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_5_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 RELATIONSHIP ABUSE NEGLECT Other Persons X X Any other person responsible for the child’s welfare at the time of the alleged abuse or neglect. Included in this category are health care professionals, educational personnel, recreational supervisors, and volunteers or support personnel in any setting where children may be subject to abuse or neglect. Note: In accordance with ANCRA, an immediate family member, other person residing in the same home as the child or the parent's paramour cannot be alleged as the perpetrator of child neglect unless they were acting as the child's caretaker when the incident occurred. d) Reasonable Effort to Protect a Child ANCRA includes in its definition of abuse, persons who “allow[] to be inflicted upon such child physical injury, by other than accidental means.” 325 ILCS 5/3. If a parent, caregiver, immediate family member, other person residing in the home, or the parent’s paramour fails to make reasonable effort to protect a child from physical injury caused by other than accidental means, he/she can be an alleged perpetrator of abuse, rather than neglect. “Reasonable effort” refers to the effort a person responsible for the welfare of a child should be expected to make in order to protect a child, without posing an imminent threat to his or her safety. Note: Minors are not expected to intervene between an adult and another child. e) Harm or Imminent Risk of Harm Caused by the Blatant Disregard of Parental or Caregiver Responsibilities 1) ""Blatant disregard"" means an incident where the real, significant, and imminent risk of harm would be so obvious to a reasonable parent or caretaker that it is unlikely that a reasonable parent or caretaker would have exposed the child to the danger without exercising precautionary measures to protect the child from harm. [325 ILCS 5/3] Example: A home daycare provider, with a pool or pond on their property, who fails to provide adequate supervision or take necessary precautions to prevent a child from drowning. Illinois Department of Children and Family Services",441,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_6_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 2) Allegations #74-85 are neglect allegations. All other allegations can be either abuse or neglect depending on the facts and circumstances. A child may sustain moderate to severe harm (e.g., brain damage, death, etc.) because of the ""blatant disregard"" of the parent or caregiver in his or her responsibility to oversee and protect the child. In such instances, the harm is the same to the child, however the cause is attributable to neglect, not abuse. f) Special Assessments in Cases of Egregious Acts 1) The Department has identified certain acts of maltreatment deemed egregious that require a special assessment by the Office of Legal Services (OLS) and the Division of Clinical Practice and Professional Development (Clinical). This special assessment will determine the need to by-pass reunification, seek a permanency goal other than reunification, and/or seek expedited termination of parental rights. If information identifying an egregious act is gathered at the time of the intake by SCR or during the course of the investigation, the report must be flagged as an egregious act case to alert the Child Protection Specialist and the Child Protection Supervisor that the case must be referred to OLS and Clinical. Maltreatment is considered egregious if it is an egregious, sadistic, or torturous act that inflicts significant pain, causes extensive external and/or internal bruising, serious injury, or death. 2) Egregious acts include but are not limited to: A) Perpetrator repeatedly threw or slammed an infant or toddler against a hard surface using a strong degree of force creating a likelihood of abusive head trauma or multiple injuries including bruising or fractures over time. B) Perpetrator caused abusive abdominal injuries, especially in very young children. C) Perpetrator submerged and held a child’s head under water or repeatedly submerged a child’s head creating a significant real or imminent risk of harm. D) Perpetrator beat up or hit a child with an object using a degree of force that could be reasonably expected to cause serious injury or death. E) Perpetrator attempted to or actually smothered, choked, strangled, or applied any other severe thoracic compression to a child. F) Perpetrator extensively burned or scalded a child on purpose. Illinois Department of Children and Family Services",495,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_7_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 G) Perpetrator threatened or attacked a child with a weapon, such as a knife, gun, or combustible substance. H) Perpetrator took a child hostage. I) Sadistic injury to a child. J) Homicide of a child. K) Non-accidental poisoning. g) Outline of an Allegation 1) While each allegation contained in this section is unique and identifies specific contacts, activities, factors to be considered, and documentation that must be applied and performed when investigating that specific allegation, there are certain contact, activities, and documentation the Child Protection Specialist must apply and perform for ALL allegations. These functions are listed below. A requirement of every investigation is that the Child Protection Specialist gather and consider all inculpatory and exculpatory evidence. 2) THE CHILD PROTECTION SPECIALIST AND SUPERVISOR MUST REVIEW EACH ALLEGATION TO DETERMINE IF THERE ARE SPECIFIC REQUIREMENTS OR INSTRUCTIONS FOR A SPECIFIC ALLEGATION. Example: As a part of the initial contact with an alleged victim, the Child Protection Specialist is instructed to complete an assessment that includes photographs and a body chart for any injury or harm the alleged victim may have. A Child Protection Specialist must NEVER photograph an alleged victim of sexual abuse. The instructions for observing and assessing an alleged child abuse victim are contained within those specific allegations. 3) The requirements and guidelines for completing investigations are outlined below. Each allegation contains the following information: A) Definition of Allegation B) Taking a Report C) Factors to be considered (Not applicable to all allegations) Illinois Department of Children and Family Services",353,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_8_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 D) Investigating the Report i) Allegation Specific Required Contacts/Consultations ii) Allegation Specific Required Activities iii) Allegation Specific Required Documentation/Evidence iv) Assessment of Factors and Evidence to Determine a Final Finding h) Contacts, Activities, and Documentation Required for ALL Allegations 1) Required Contacts All contacts and attempted contacts must be documented in a contact note within 48 hours. A) Interview the reporter/source and other persons with information (OPWI) identified in the current report and related information reports. Reporter Specific Questions i) Suggested introductory statement to reporter: “I am a child protection specialist and received this report for investigation that you reported to our hotline. The department is grateful for your concern for the safety of children. I want to hear from you directly what your reported to our hotline but am hoping to start with a few general questions to help me get to understand the situation fully.” ii) Can you tell me about how you came to know the people involved in this report? When did you first meet them? iii) Although you already reported the information to our hotline, as the assigned investigator, please describe for me all the information you have regarding the situation, including any new information you may have since the time you reported. iv) Who else do you suggest I contact to more fully understand this situation so that I can complete a thorough investigation? v) How would you describe the family strengths? What are their supports? Illinois Department of Children and Family Services",320,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_9_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 vi) As I work to ensure the safety of the child(ren) brought to the Department’s attention, I can only do that if I myself am safe. Do you have any information that may be important for me to know to ensure my safety as I engage the family? vii) Is there anything I did not ask you that you would like me to know? B) Interview the alleged child victim(s) in person and individually. i) Complete an assessment that includes photographs and body chart of any physical injury or harm. Complete a safety assessment (CERAP) within 24 hours. Non-verbal children must be thoroughly observed and assessed. ii) However, the Child Protection Specialist should not interview the alleged child victim if, per local protocol, the case is Forensic Interview (FI) eligible or the alleged child victim is a child with developmental disabilities. The Child Protection Specialist shall refer the involved child to the local CAC for all FI, as soon as possible, if one has not already been conducted. If the victim is “unsafe,” per the CERAP, every attempt must be made to arrange an emergency FI. iii) Forensic Interviewers and Working with Child Advocacy Centers Child Protection investigators play an important role with their Child Advocacy Center as part of a multidisciplinary team (MDT) approach. If possible, a multidisciplinary team approach to an investigation is preferred. When a Child Protection Specialist is also acting as a Forensic Interviewer for the team, the Child Protection Specialist must first complete 32 hours of approved initial training and maintain a minimum of 8 hours continuing education every two years. To maintain Forensic Interviewer status, the Child Protection Specialist must also participate in the peer review process of their work twice yearly. As a member of an MDT, the Child Protection Specialist shall participate in monthly reviews of their cases. If not available, the Child Protection Supervisor should attend. To hone skills as part of an MDT, the Child Protection Specialist shall also participate in educational opportunities that are cross-discipline in nature. The Department shall designate a person who will be responsible for formalizing inter-agency agreements and policies across Child Advocacy Centers and MDTs. Illinois Department of Children and Family Services",476,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
procedures-300-appendix-b_10_text,"REPORTS OF CHILD ABUSE AND NEGLECT September 16, 2022 – PT 2022.09 iv) The Child Protection Specialist must ask the alleged child victim if there is an extended family member, another adult or caretaker that he or she feels safe with, important or special to. If the alleged child victim is interviewed by a Forensic Interviewer, the Child Protection Specialist shall coordinate with the Forensic Interviewer to ensure that the alleged child victim is asked this question. Persons identified by the alleged child victim shall be interviewed. C) Interview the parent/caregiver in person and individually. Efforts to interview a parent/caregiver must be attempted on the same day the children in the home are contacted, if possible. If a safety threat is determined to be present, the parent/caregiver must be interviewed immediately to continue to assess safety. The following suggested question are intended to ensure that all information, both inculpatory and exculpatory, is gathered. These are suggested questions and are intended to be a starting point for the gathering of information. Additional questions may be asked to ensure that complete information is gathered and documented. Common Questions for All Injuries i) Child’s Capabilities What is the child typically capable of doing by themselves? What is their developmental ability, related to both speech and movement? ii) Typical or Usual Behavior and Appearance When did you last see the child act in their usual manner, including eating and drinking, peeing and pooping, breathing and body movement? iii) Timeline a) What is the child’s daily routine? (sleeping/waking, eating/drinking, bathing, etc.) b) Tell me the detailed events leading up to the injury. 1) What was the first thing you noticed? What was the child doing right before that? 2) Where was the child when the injury occurred? Where were you? Illinois Department of Children and Family Services",394,https://dcfs.illinois.gov/content/dam/soi/en/web/dcfs/documents/about-us/model-rules-and-forms/documents/procedures/procedures-300-appendix-b.pdf
